"Name"
"Authenticated Website"
"Chatter External"
"Chatter Free"
"Customer Community"
"Customer Community Login"
"Customer Portal Manager Custom"
"Customer Portal Manager Standard"
"Force.com - App Subscription"
"Force.com - Free"
"Gold Partner"
"Guest"
"High Volume Customer Portal"
"Partner App Subscription"
"Partner Community"
"Partner Community Login"
"Salesforce"
"Salesforce Platform"
"Silver Partner"
